"Effect","Conditional","Zero.inflated"
"b",0.227200835878935,-0.641208707061699
"c",0.46879650953484,-1.49209690835989
"c'",0.3931032935282,-1.31004283221915
"Proportion Mediated",0.161462840416083,0.122012233334664
