"","Estimate","Std. Error","Pr(>|z|)"
"(Intercept)",3.866,0.4,"3.90e-22"
"GV.step1-STEP",0.226,0.059,"1.36e-04"
"GV.step2-STEP",0.394,0.071,"2.67e-08"
"GV.stepMost GD",0.388,0.06,"1.06e-10"
"z.peq.vic.sum",0.228,0.016,"8.67e-48"
"z.puberty",0.041,0.023,"0.081"
"age.year",-0.129,0.03,"1.70e-05"
"sexM",-0.14,0.046,"0.002"
"highest_edu",-0.026,0.01,"0.007"
"combined_income",-0.025,0.01,"0.014"
