"","Estimate","Std.Error","P","95% CI"
"(Intercept)",0.429,0.2458,"0.081","[-0.053, 0.91]"
"PEQ Victimization",0.385,0.011,"7.11e-249","[0.364, 0.407]"
"Age",0.01,0.0181,"0.598","[-0.026, 0.045]"
"Birth-assigned sex (Male)",-0.06,0.0259,"0.02","[-0.111, -0.009]"
"Puberty",0.063,0.0138,"5.42e-06","[0.036, 0.09]"
"Parental education",-0.018,0.0061,"0.002","[-0.03, -0.007]"
"Family income",-0.017,0.0066,"0.009","[-0.03, -0.004]"
